Filename	Title	Year	Authors
732.txt	The History of The Decline and Fall of the Roman Empire	1996	Edward Gibbon
733.txt	The History of The Decline and Fall of the Roman Empire	1996	Edward Gibbon
734.txt	The History of The Decline and Fall of the Roman Empire	1996	Edward Gibbon
737.txt	The Bobbsey Twins at School	1996	Laura Lee Hope
739.txt	Henry Clay's Remarks in House and Senate	1996	Henry Clay
740.txt	Remarks of Mr. Calhoun of South Carolina on the bill to prevent the interference of certain federal officers in elections: delivered in the Senate of the United States February 22, 1839	1996	John C. Calhoun
741.txt	Thomas Hart Benton's Remarks to the Senate on the Expunging Resolution	1996	Thomas Hart Benton
743.txt	Thoughts on Man	1996	William Godwin
744.txt	The Golden Mean	1996	Jerry Bonnell;Robert Nemiroff
745.txt	One divided by Pi (to 1 million digits)	1996	Yasumasa Kanada
746.txt	Burning Daylight	1996	Jack London
747.txt	Anomalies and Curiosities of Medicine	1996	George M. Gould
748.txt	The Brother of Daphne	2008	Dornford Yates
749.txt	Barlaam and Ioasaph	1996	St. John of Damascus
75.txt	Email 101	1993	John Goodwin
750.txt	High History of the Holy Graal	1996	Unknown
751.txt	The Autocrat of the Breakfast-Table	2013	Oliver Wendell Holmes
752.txt	A Young Girl's Diary	2006	An Unknown Young Girl
753.txt	Arizona Nights	2008	Stewart Edward White
754.txt	The Story of Mankind	1996	Hendrik van Loon
755.txt	A Lady's Life in the Rocky Mountains	2008	Isabella L. Bird
756.txt	Arizona Sketches	1996	Joseph A. Munk
758.txt	LandSat Picture of Washington, DC	1996	United States National Aeronautics and Space Administration
759.txt	James Pethel	1996	Max Beerbohm
760.txt	Enoch Soames	1996	Max Beerbohm
761.txt	A. V. Laider	1996	Max Beerbohm
762.txt	British Airships, Past, Present, and Future	1996	George Whale
763.txt	The Round-up	1996	John Murray;Marion Mills Miller
764.txt	Hans Brinker	1996	Mary Mapes Dodge
765.txt	The Moon Pool	1996	A. Merritt
766.txt	David Copperfield	1996	Charles Dickens
767.txt	Agnes Grey	2010	Anne Bronte
768.txt	Wuthering Heights	2007	Emily Bronte
769.txt	The Book of Tea	1997	Kakuzo Okakura
77.txt	The House of the Seven Gables	2008	Nathaniel Hawthorne
770.txt	The Story of the Treasure Seekers	1997	E. Nesbit
775.txt	When the Sleeper Wakes	1997	Herbert George Wells
777.txt	The Mastery of the Air	1997	William J. Claxton
78.txt	Tarzan of the Apes	2008	Edgar Rice Burroughs
780.txt	The War in the Air	1997	Herbert George Wells
781.txt	Sinking of the Titanic	1997	Unknown
783.txt	The Lost City	1997	Joseph E. Badger, Jr.
784.txt	Boyhood in Norway	1997	Hjalmar Hjorth Boyesen
785.txt	Of The Nature of Things	1997	[Titus Lucretius Carus] Lucretius
787.txt	The Man Between	1997	Amelia E. Barr
79.txt	Terminal Compromise	1993	Winn Schwartau
791.txt	The Princess	1997	Alfred Lord Tennyson
792.txt	Wieland; or The Transformation	1997	Charles Brockden Brown
793.txt	Aeroplanes and Dirigibles of War	1997	Frederick A. Talbot
8.txt	Lincoln's Second Inaugural Address, March 4, 1865	1978	Abraham Lincoln
80.txt	The Online World	1993	Odd de Presno
805.txt	This Side of Paradise	1997	F. Scott Fitzgerald
806.txt	Philoktetes	2013	Sophocles
808.txt	The Complete Plays of Gilbert and Sullivan	1997	William Schwenk Gilbert;Arthur Sullivan
81.txt	The Return of Tarzan	2008	Edgar Rice Burroughs
812.txt	Catalan's Constant to 1,500,000 Places	1997	Thomas Papanikolaou
813.txt	Reminiscences of Tolstoy	1997	Ilya Tolstoy
814.txt	Hunting Sketches	1997	Anthony Trollope
815.txt	Democracy In America, Volume 1 (of 2)	2006	Alexis de Toqueville
816.txt	Democracy In America, Volume 2 (of 2)	2006	Alexis de Toqueville
818.txt	The Aeroplane Speaks	1997	H. Barber
819.txt	The History of the Telephone	1997	Herbert N. Casson
82.txt	Ivanhoe	1993	Walter Scott
820.txt	Edison, His Life and Inventions	2006	Frank Lewis Dyer;Thomas Commerford Martin
821.txt	Dombey and Son	1997	Charles Dickens
822.txt	The Tarn of Eternity	1997	Frank Tymon
823.txt	The Life of St. Declan of Ardmore	1997	Unknown
825.txt	Latin Vulgate Bible Book Titles and Names	1997	Unknown
826.txt	Latin Vulgate, Esther: Liber Esther	1997	Unknown
827.txt	Latin Vulgate, Esther: Liber Esther [Septuagint Arrangement]	1997	Unknown
828.txt	Latin Vulgate of Daniel [Prophetia Danielis]	1997	Unknown
83.txt	From the Earth to the Moon	1993	Jules Verne
830.txt	The Argonautica	1997	Apollonius Rhodius
831.txt	Four Arthurian Romances	1997	Chretien DeTroyes
832.txt	Robin Hood	2006	J. Walker McSpadden
833.txt	The Theory of the Leisure Class	1997	Thorstein Veblen
836.txt	The Phoenix and the Carpet	1997	E. Nesbit
837.txt	The Story of the Amulet	1997	E. Nesbit
838.txt	Jasmin: Barber, Poet, Philanthropist	1997	Samuel Smiles
840.txt	Lorna Doone, A Romance of Exmoor	2006	R. D. Blackmore
841.txt	Men, Women and Ghosts	1997	Amy Lowell
842.txt	Memoirs of Carwin the Biloquist	1997	Charles Brockden Brown
843.txt	The Life of Francis Marion	1997	William Gilmore Simms
844.txt	The Importance of Being Earnest	2006	Oscar Wilde
845.txt	Poems of Henry Timrod	1997	Henry Timrod
847.txt	Lays of Ancient Rome	2006	Thomas Babington Macaulay
848.txt	The Black Arrow	2008	Robert Louis Stevenson
849.txt	Idle Thoughts of an Idle Fellow	1997	Jerome K. Jerome
85.txt	The Beasts of Tarzan	2008	Edgar Rice Burroughs
850.txt	Tom Grogan	1997	F. Hopkinson Smith
851.txt	Captivity and Restoration	1997	Mrs. Mary Rowlandson
852.txt	Democracy and Education	1997	John Dewey
853.txt	The Confutatio Pontificia	1997	Unknown
855.txt	Clocks	1997	Jerome K. Jerome
856.txt	Dreams	1997	Jerome K. Jerome
857.txt	Evergreens	1997	Jerome K. Jerome
858.txt	Stage-Land	1997	Jerome K. Jerome
859.txt	Polly of the Circus	1997	Margaret Mayo
860.txt	Baby Mine	1997	Margaret Mayo
861.txt	The Dominion of the Air	1997	J. M. Bacon
862.txt	Philosophy 4	1997	Owen Wister
865.txt	Passing of the Third Floor Back	1997	Jerome K. Jerome
866.txt	The Cost of Kindness	2008	Jerome K. Jerome
867.txt	Mrs. Korner Sins Her Mercies	1997	Jerome K. Jerome
868.txt	The Philosopher's Joke	1997	Jerome K. Jerome
869.txt	The Soul of Nicholas Snyders	2008	Jerome K. Jerome
87.txt	The 1993 CIA World Factbook	1993	United States.  Central Intelligence Agency.
870.txt	The Love of Ulrich Nebendahl	1997	Jerome K. Jerome
871.txt	The Golden Sayings of Epictetus	2006	Epictetus
874.txt	A History of Aeronautics	1997	E. Charles Vivian
876.txt	Life in the Iron-Mills	1997	Rebecca Harding Davis
877.txt	Little Britain	1997	Washington Irving
878.txt	Yankee Gypsies	1997	John Greenleaf Whittier
879.txt	The Boy Captives	1997	John Greenleaf Whittier
88.txt	Price/Cost Indexes from 1875 to 1989	2008	United States
880.txt	My Garden Acquaintance	1997	James Russell Lowell
881.txt	Lemorne Versus Huell	1997	Elizabeth Drew Stoddard
882.txt	Sketches by Boz	2009	Charles Dickens
884.txt	Memoirs of Extraordinary Popular Delusions	1997	Charles Mackay
885.txt	An Ideal Husband	2009	Oscar Wilde
889.txt	Two Years in the Forbidden City	1997	The Princess Der Ling
890.txt	The History of The Decline and Fall of the Roman Empire	1997	Edward Gibbon
891.txt	The History of The Decline and Fall of the Roman Empire	1997	Edward Gibbon
892.txt	The History of The Decline and Fall of the Roman Empire	1997	Edward Gibbon
893.txt	The History of The Decline and Fall of the Roman Empire	1997	Edward Gibbon
894.txt	The History of The Decline and Fall of the Roman Empire	1997	Edward Gibbon
896.txt	Orations	1997	John Quincy Adams
897.txt	The Rose and the Ring	2006	William Makepeace Thackeray
899.txt	Wonderful Balloon Ascents	1997	Fulgence Marion
9.txt	Lincoln's First Inaugural Address, March 4, 1861	1979	Abraham Lincoln
90.txt	The Son of Tarzan	2008	Edgar Rice Burroughs
903.txt	The White Company	1997	Arthur Conan Doyle
904.txt	Her Father's Daughter	1997	Gene Stratton-Porter
905.txt	Within the Law	1997	Marvin Dana
907.txt	Flying Machines	1997	W.J. Jackman;Thos. H. Russell
908.txt	A Treatise on Parents and Children	2006	George Bernard Shaw
909.txt	The Adventures of Colonel Daniel Boone	1997	John Filson
910.txt	White Fang	2005	Jack London
913.txt	A Hero of Our Time	1997	M. Y. Lermontov
917.txt	Barnaby Rudge	2006	Charles Dickens
919.txt	The Ethics [Part I]	1997	Benedict de Spinoza
92.txt	Tarzan and the Jewels of Opar	1995	Edgar Rice Burroughs
920.txt	The Ethics [Part II]	1997	Benedict de Spinoza
921.txt	De Profundis	2007	Oscar Wilde
923.txt	A Sketch of the Life of Brig. Gen. Francis Marion	1997	William Dobein James
925.txt	United States Presidents' Inaugural Speeches	1997	Unknown
929.txt	The Real Cyberpunk Fakebook	1997	St. Jude;R. U. Sirius;Bart Nagel
930.txt	The Cook's Decameron: A Study in Taste:	1997	Mrs. W. G. Waters
932.txt	The Fall of the House of Usher	1997	Edgar Allan Poe
936.txt	The Village Watch-Tower	1997	Kate Douglas Wiggin
938.txt	Good Indian	1997	B. M. Bower
94.txt	Alexander's Bridge and The Barrel Organ	2006	Willa Cather;Alfred Noyes
940.txt	The Last of the Mohicans	2006	James Fenimore Cooper
941.txt	Just Folks	1997	Edgar A. Guest
942.txt	Green Mansions	1997	W. H. Hudson
943.txt	Misalliance	1997	George Bernard Shaw
944.txt	The Voyage of the Beagle	1997	Charles Darwin
945.txt	Dust	1997	Mr. Haldeman-Julius;Mrs. Haldeman-Julius
946.txt	Lady Susan	1997	Jane Austen
947.txt	The Life of Horatio Lord Nelson	2006	Robert Southey
948.txt	The Ethics [Part III]	1997	Benedict de Spinoza
949.txt	Tom Swift and his Submarine Boat	1997	Victor Appleton
950.txt	Tom Swift and his Electric Runabout	1997	Victor Appleton
951.txt	Tom Swift and his Sky Racer	1997	Victor Appleton
952.txt	Tom Swift and his Air Glider	1997	Victor Appleton
953.txt	Tom Swift and his Big Tunnel	1997	Victor Appleton
954.txt	Tom Swift and his War Tank	1997	Victor Appleton
955.txt	The Patchwork Girl of Oz	1997	L. Frank Baum
956.txt	Tik-Tok of Oz	1997	L. Frank Baum
957.txt	The Scarecrow of Oz	1997	L. Frank Baum
958.txt	Rinkitink in Oz	1997	L. Frank Baum
959.txt	The Lost Princess of Oz	1997	L. Frank Baum
96.txt	The Monster Men	2008	Edgar Rice Burroughs
960.txt	The Tin Woodman of Oz	1997	L. Frank Baum
961.txt	Glinda of Oz	1997	L. Frank Baum
962.txt	The Poems of Henry Kendall	1997	Henry Kendall
963.txt	Little Dorrit	1997	Charles Dickens
964.txt	The Merry Adventures of Robin Hood	2006	Howard Pyle
965.txt	The Black Tulip	1997	Alexandre Dumas (Pere)
966.txt	Maid Marian	1997	Thomas Love Peacock
967.txt	The Life And Adventures Of Nicholas Nickleby	2006	Charles Dickens
968.txt	Life And Adventures Of Martin Chuzzlewit	2006	Charles Dickens
969.txt	The Tenant of Wildfell Hall	2010	Anne Bronte
97.txt	Flatland	1994	Edwin A. Abbott
970.txt	Uncles Josh's Punkin Centre Stories	1997	Cal Stewart
971.txt	The Ethics [Part IV]	1997	Benedict de Spinoza
972.txt	The Devil's Dictionary	2008	Ambrose Bierce
973.txt	Howard Pyle's Book of Pirates	2006	Howard Pyle
974.txt	The Secret Agent	2010	Joseph Conrad
975.txt	The Ethics [Part V]	1997	Benedict de Spinoza
976.txt	Tanglewood Tales	1997	Nathaniel Hawthorne
977.txt	American Notes	1997	Rudyard Kipling
978.txt	The Yates Pride	1997	Mary E. Wilkins Freeman
979.txt	Heroes of the Telegraph	1997	J. Munro
98.txt	A Tale of Two Cities	1994	Charles Dickens
980.txt	Alice Adams	1997	Booth Tarkington
981.txt	Beowulf	1997	Unknown
982.txt	Book of Nonsense	1997	Edward Lear
984.txt	Who Was Who: 5000 B. C. to Date	1997	Unknown
985.txt	Father Sergius	1997	Leo Tolstoy
986.txt	Master and Man	1997	Leo Tolstoy
988.txt	The Education of the Child	1997	Ellen Key
989.txt	A Theological-Political Treatise [Part I]	1997	Benedict of Spinoza
99.txt	Collected Articles of Frederick Douglass	2008	Frederick Douglass
990.txt	A Theological-Political Treatise [Part II]	1997	Benedict of Spinoza
991.txt	A Theological-Political Treatise [Part III]	1997	Benedict of Spinoza
992.txt	A Theological-Political Treatise [Part IV]	1997	Benedict of Spinoza
993.txt	Malbone	1997	Thomas Wentworth Higginson
994.txt	Riders to the Sea	2008	J. M. Synge
995.txt	Ballads of a Bohemian	1997	Robert W. Service
